number,time2resolve
BKOP0117512,0 days 00:27:29
BKOP0117516,0 days 04:40:55
BKOP0117530,0 days 02:09:36
BKOP0117533,0 days 02:05:18
BKOP0117534,0 days 02:42:13
BKOP0117535,5 days 22:19:35
BKOP0117537,0 days 02:11:51
BKOP0117546,0 days 01:41:37
BKOP0117547,0 days 01:43:26
BKOP0117595,1 days 23:25:36
BKOP0117604,3 days 02:17:45
BKOP0117610,1 days 19:41:58
BKOP0117611,1 days 20:19:04
BKOP0117653,1 days 22:39:49
BKOP0117655,1 days 19:28:43
BKOP0117660,2 days 00:28:42
BKOP0117661,2 days 00:27:41
BKOP0117679,0 days 16:48:24
BKOP0117685,0 days 02:32:56
BKOP0117687,0 days 00:42:34
BKOP0117689,0 days 00:08:14
BKOP0117690,0 days 03:45:05
BKOP0117691,0 days 03:36:06
BKOP0117693,0 days 00:40:08
BKOP0117695,0 days 00:18:31
BKOP0117700,0 days 00:37:25
BKOP0117706,0 days 00:07:37
BKOP0117707,0 days 00:03:05
BKOP0117710,0 days 00:12:09
BKOP0117724,0 days 01:46:24
BKOP0117727,0 days 00:38:26
BKOP0117731,17 days 01:10:20
BKOP0117734,0 days 20:18:29
BKOP0117751,0 days 20:23:50
BKOP0117763,0 days 16:38:08
BKOP0117773,0 days 14:58:52
BKOP0117798,1 days 21:39:47
BKOP0117804,1 days 21:15:21
BKOP0117805,0 days 01:05:01
BKOP0117810,0 days 23:39:02
BKOP0117813,0 days 03:40:14
BKOP0117839,1 days 19:05:09
BKOP0117842,0 days 00:14:26
BKOP0117847,0 days 21:16:06
BKOP0117855,0 days 17:24:24
BKOP0117887,3 days 23:57:10
BKOP0117891,0 days 19:40:38
BKOP0117892,0 days 19:37:37
BKOP0117922,0 days 13:14:15
BKOP0117934,0 days 01:34:47
BKOP0117945,0 days 03:05:32
BKOP0117954,3 days 01:08:43
BKOP0117956,3 days 02:30:41
BKOP0117988,2 days 18:38:29
BKOP0117989,2 days 17:37:47
BKOP0118038,0 days 07:56:17
BKOP0118040,0 days 07:53:59
BKOP0118051,0 days 00:13:58
BKOP0118061,2 days 22:20:42
BKOP0118068,0 days 21:36:33
BKOP0118071,2 days 03:06:08
BKOP0118085,0 days 19:40:32
BKOP0118088,0 days 01:31:53
BKOP0118095,0 days 21:44:12
BKOP0118096,0 days 22:15:28
BKOP0118098,1 days 00:09:58
BKOP0118119,0 days 14:29:15
BKOP0118126,0 days 01:54:12
BKOP0118131,0 days 05:13:25
BKOP0118147,0 days 03:06:57
BKOP0118148,0 days 03:32:58
BKOP0118149,0 days 03:32:47
BKOP0118152,0 days 21:53:19
BKOP0118167,0 days 01:22:59
BKOP0118170,6 days 01:09:36
BKOP0118172,6 days 01:08:12
BKOP0118173,6 days 01:06:37
BKOP0118176,6 days 01:01:21
BKOP0118177,6 days 00:57:51
BKOP0118179,6 days 00:56:40
BKOP0118180,6 days 00:55:28
BKOP0118182,6 days 00:53:50
BKOP0118184,6 days 00:52:53
BKOP0118185,6 days 00:51:45
BKOP0118210,0 days 00:51:05
BKOP0118211,0 days 18:01:07
BKOP0118213,0 days 21:55:18
BKOP0118214,0 days 22:28:22
BKOP0118215,0 days 22:32:40
BKOP0118216,0 days 22:52:43
BKOP0118217,0 days 22:54:28
BKOP0118218,0 days 17:40:30
BKOP0118220,0 days 17:07:34
BKOP0118222,0 days 16:47:18
BKOP0118228,0 days 22:15:08
BKOP0118229,0 days 03:07:00
BKOP0118230,0 days 00:23:44
BKOP0118232,0 days 04:17:24
BKOP0118238,0 days 01:24:48
BKOP0118243,0 days 20:56:52
BKOP0118263,4 days 16:54:50
BKOP0118264,4 days 23:02:20
BKOP0118265,0 days 19:54:54
BKOP0118272,0 days 17:46:19
BKOP0118279,5 days 13:52:23
BKOP0118280,0 days 16:37:26
BKOP0118281,0 days 16:30:46
BKOP0118282,0 days 16:33:00
BKOP0118295,3 days 23:09:06
BKOP0118300,0 days 00:20:25
BKOP0118302,0 days 00:32:40
BKOP0118304,0 days 01:29:08
BKOP0118306,0 days 01:12:40
BKOP0118308,4 days 02:25:28
BKOP0118312,4 days 02:46:41
BKOP0118313,4 days 02:26:48
BKOP0118314,0 days 00:58:24
BKOP0118340,0 days 18:29:53
BKOP0118345,4 days 18:09:44
BKOP0118346,0 days 16:33:47
BKOP0118347,0 days 16:33:52
BKOP0118348,0 days 17:29:06
BKOP0118364,0 days 12:44:21
BKOP0118408,3 days 03:04:09
BKOP0118410,3 days 01:26:50
BKOP0118429,2 days 16:50:59
BKOP0118435,2 days 18:49:28
BKOP0118436,2 days 20:28:16
BKOP0118451,1 days 21:55:45
BKOP0118452,1 days 21:56:32
BKOP0118453,2 days 20:20:19
BKOP0118454,2 days 03:07:58
BKOP0118463,1 days 23:18:42
BKOP0118465,1 days 21:06:12
BKOP0118467,1 days 21:25:19
BKOP0118468,1 days 22:52:58
BKOP0118469,1 days 20:47:03
BKOP0118471,2 days 00:52:20
BKOP0118474,1 days 20:24:07
BKOP0118477,1 days 20:32:46
BKOP0118478,1 days 20:17:18
BKOP0118479,1 days 19:24:09
BKOP0118480,6 days 01:23:04
BKOP0118482,1 days 19:21:28
BKOP0118483,1 days 18:51:24
BKOP0118484,1 days 18:49:17
BKOP0118485,1 days 18:48:32
BKOP0118514,0 days 05:12:33
BKOP0118515,0 days 00:05:37
BKOP0118518,0 days 00:10:48
BKOP0118529,0 days 00:09:43
BKOP0118530,4 days 02:36:20
BKOP0118532,4 days 02:25:15
BKOP0118535,0 days 00:47:25
BKOP0118538,0 days 00:27:52
BKOP0118539,8 days 20:19:17
BKOP0118540,7 days 20:54:44
BKOP0118541,0 days 23:11:12
BKOP0118542,0 days 01:11:27
BKOP0118544,0 days 02:05:19
BKOP0118550,0 days 02:09:50
BKOP0118556,0 days 00:26:05
BKOP0118562,0 days 00:33:45
BKOP0118574,0 days 00:48:11
BKOP0118577,0 days 00:21:02
BKOP0118578,0 days 00:36:58
BKOP0118584,20 days 19:48:59
BKOP0118585,0 days 00:01:32
BKOP0118592,0 days 18:59:53
BKOP0118595,0 days 00:05:43
BKOP0118596,0 days 19:03:52
BKOP0118598,0 days 18:59:48
BKOP0118599,0 days 00:46:52
BKOP0118610,0 days 00:16:32
BKOP0118618,0 days 17:23:15
BKOP0118623,8 days 15:43:44
BKOP0118633,0 days 16:01:48
BKOP0118651,0 days 04:18:24
BKOP0118660,0 days 00:40:46
BKOP0118697,0 days 17:25:34
BKOP0118699,0 days 16:38:57
BKOP0118702,0 days 17:45:20
BKOP0118704,0 days 16:11:36
BKOP0118708,0 days 16:52:27
BKOP0118716,0 days 15:18:58
BKOP0118718,0 days 15:19:26
BKOP0118719,0 days 15:24:07
BKOP0118720,0 days 15:28:38
BKOP0118733,1 days 00:07:05
BKOP0118741,0 days 22:41:11
BKOP0118750,0 days 01:57:06
BKOP0118753,0 days 01:35:51
BKOP0118767,2 days 01:17:06
BKOP0118794,0 days 16:13:31
BKOP0118797,0 days 15:05:02
BKOP0118798,0 days 15:05:09
BKOP0118799,4 days 16:06:36
BKOP0118800,18 days 20:50:15
BKOP0118801,18 days 20:49:48
BKOP0118820,0 days 03:10:37
BKOP0118826,13 days 23:21:21
BKOP0118835,3 days 22:53:05
BKOP0118838,0 days 00:42:24
BKOP0118850,5 days 00:51:51
BKOP0118856,11 days 23:46:03
BKOP0118862,0 days 01:04:39
BKOP0118872,0 days 23:22:27
BKOP0118882,0 days 17:07:51
BKOP0118887,0 days 20:35:24
BKOP0118888,0 days 16:05:10
BKOP0118891,0 days 04:26:50
BKOP0118895,0 days 00:38:03
BKOP0118915,0 days 00:17:24
BKOP0118922,0 days 00:52:16
BKOP0118947,1 days 23:28:49
BKOP0118964,1 days 22:49:37
BKOP0118979,3 days 02:41:26
BKOP0118982,4 days 14:01:39
BKOP0118983,1 days 18:31:03
BKOP0118984,3 days 02:40:41
BKOP0118987,1 days 17:55:49
BKOP0118990,4 days 21:57:46
BKOP0119011,0 days 23:41:33
BKOP0119014,50 days 21:43:50
BKOP0119016,0 days 01:12:33
BKOP0119020,0 days 00:58:34
BKOP0119031,2 days 17:08:59
BKOP0119033,1 days 04:23:14
BKOP0119048,16 days 01:29:15
BKOP0119050,9 days 20:42:23
BKOP0119059,0 days 16:33:47
BKOP0119060,1 days 17:30:28
BKOP0119063,13 days 17:19:59
BKOP0119068,13 days 16:36:23
BKOP0119095,0 days 21:12:03
BKOP0119100,0 days 00:23:07
BKOP0119103,2 days 03:35:21
BKOP0119119,0 days 02:19:17
BKOP0119120,0 days 01:51:42
BKOP0119132,0 days 00:13:26
BKOP0119133,45 days 01:48:19
BKOP0119136,0 days 00:18:20
BKOP0119147,0 days 18:10:52
BKOP0119148,1 days 00:19:07
BKOP0119149,6 days 15:49:30
BKOP0119162,0 days 15:59:25
BKOP0119163,0 days 16:45:17
BKOP0119164,0 days 16:49:00
BKOP0119183,1 days 01:16:54
BKOP0119188,0 days 01:36:57
BKOP0119215,0 days 20:54:26
BKOP0119229,0 days 18:23:03
BKOP0119231,0 days 23:51:37
BKOP0119232,0 days 23:59:54
BKOP0119233,1 days 00:04:13
BKOP0119234,1 days 00:09:17
BKOP0119237,0 days 22:46:01
BKOP0119273,0 days 00:17:11
BKOP0119277,3 days 20:01:17
BKOP0119281,0 days 23:42:05
BKOP0119282,1 days 00:32:45
BKOP0119284,0 days 00:11:44
BKOP0119296,0 days 00:09:02
BKOP0119319,0 days 17:59:55
BKOP0119321,6 days 19:56:06
BKOP0119325,0 days 20:07:17
BKOP0119337,0 days 15:32:29
BKOP0119339,10 days 21:20:05
BKOP0119344,0 days 00:13:16
BKOP0119385,2 days 20:27:53
BKOP0119386,5 days 21:31:06
BKOP0119387,2 days 20:30:54
BKOP0119427,1 days 20:43:33
BKOP0119429,1 days 20:13:08
BKOP0119430,1 days 21:42:11
BKOP0119432,1 days 19:52:24
BKOP0119433,1 days 19:39:43
BKOP0119436,1 days 21:29:18
BKOP0119446,1 days 23:49:55
BKOP0119448,1 days 22:41:48
BKOP0119465,7 days 06:55:16
BKOP0119466,7 days 06:29:23
BKOP0119474,8 days 01:05:48
BKOP0119483,6 days 21:40:48
BKOP0119490,0 days 00:29:35
BKOP0119495,0 days 01:46:08
BKOP0119507,0 days 17:33:11
BKOP0119546,0 days 10:25:34
BKOP0119547,0 days 10:25:35
BKOP0119554,0 days 00:14:58
BKOP0119563,0 days 03:54:36
BKOP0119578,0 days 00:49:41
BKOP0119591,2 days 01:10:07
BKOP0119619,1 days 00:25:40
BKOP0119620,2 days 18:31:31
BKOP0119626,0 days 02:32:59
BKOP0119663,40 days 21:06:17
BKOP0119664,1 days 17:11:18
BKOP0119676,0 days 19:40:11
BKOP0119679,0 days 17:12:52
BKOP0119684,0 days 15:43:50
BKOP0119694,1 days 03:45:40
BKOP0119695,1 days 04:50:44
BKOP0119728,0 days 00:08:50
BKOP0119730,0 days 00:22:07
BKOP0119735,3 days 15:32:56
BKOP0119737,3 days 21:42:06
BKOP0119776,3 days 21:14:54
BKOP0119790,0 days 04:07:17
BKOP0119794,2 days 19:46:15
BKOP0119807,3 days 04:34:28
BKOP0119808,3 days 22:51:36
BKOP0119814,0 days 00:35:00
BKOP0119830,2 days 00:34:52
BKOP0119840,1 days 22:28:43
BKOP0119841,5 days 07:17:08
BKOP0119843,1 days 23:19:37
BKOP0119851,1 days 23:17:39
BKOP0119857,38 days 17:43:09
BKOP0119858,1 days 17:39:58
BKOP0119871,1 days 16:48:06
BKOP0119872,1 days 16:52:04
BKOP0119909,0 days 00:47:55
BKOP0119912,0 days 21:05:49
BKOP0119939,0 days 17:37:08
BKOP0119940,0 days 20:04:19
BKOP0119947,0 days 17:06:09
BKOP0119950,0 days 16:59:48
BKOP0119952,0 days 22:53:12
BKOP0119955,0 days 16:54:45
BKOP0119957,0 days 16:49:55
BKOP0119978,0 days 00:15:29
BKOP0119980,0 days 00:14:50
BKOP0119983,0 days 00:52:27
BKOP0119987,0 days 00:05:00
BKOP0119988,0 days 23:17:23
BKOP0119993,0 days 00:49:23
BKOP0120013,0 days 01:23:27
BKOP0120032,0 days 20:15:07
BKOP0120034,0 days 00:04:20
